parametro,valor_inyectado,media_realizada,sd_realizada,PGR,PLR,PGR_menos_PLR,SE_PGR_menos_PLR,PGR_sobre_PLR,delta_hat,SE_delta_hat,beta_net,SE_beta_net,p_beta_net,beta_gross,turnover_medio
delta,0.0,0.0,0.0,0.055834736482780575,0.05610754324143765,-0.0002728067586570751,0.0003030472898346962,0.9951377882028597,-0.0011787282185921732,0.0028038387641769595,-0.0034339215242334287,0.010956639879764873,0.7539691170763974,-0.000709597528730805,3.049002571682877
delta,0.2,0.19754130502377454,0.0873062021913497,0.06884848315085393,0.04888505522596297,0.01996342792489096,0.0005013061299174215,1.4083748669734208,0.19666595142820278,0.00399428321310465,0.05054878056264705,0.011321441730403753,8.011688623276154e-06,0.0530843037962572,3.0239842425350023
delta,0.4,0.4043691464580789,0.1066289201675309,0.07489621201742172,0.03541728501168103,0.03947892700574069,0.0005677693353294209,2.1146796540931945,0.4020947204222014,0.004384151455417195,0.0662005771754779,0.012792408543030936,2.2792405745816377e-07,0.06961647128052753,3.0840176321342923
delta,0.6,0.6029350770703604,0.10544552764171479,0.09445468439097353,0.030409117736561887,0.06404556665441163,0.0008459163929162678,3.106130378699134,0.6052360053778292,0.004239711699404734,0.06684810351828524,0.007379214710767387,1.3168506893423474e-19,0.06970229053365878,2.629217268328504
delta,0.8,0.8006531361774991,0.08505203179710868,0.11043972817732758,0.01616386160451995,0.09427586657280763,0.0009883171711363152,6.832508894189306,0.8025301990056265,0.0031810112324789906,0.10917125283846363,0.009213754574652011,2.1848731410475334e-32,0.11221367600015161,2.4750958696288516
kappa,0.0,0.0,0.0,0.05724168903381808,0.05761943138221433,-0.0003777423483962497,0.0003203555206630635,0.993444184724932,-0.0012130914903815146,0.0029202092169639112,0.003271111601401682,0.013255848331538412,0.80508821957363,0.0058974396528449005,3.1226210839782125
kappa,0.2,0.20311134569591677,0.09010752932279285,0.06413029688752608,0.0641444796435854,-1.418275605931385e-05,0.000251129552847753,0.999778893583078,-0.0012905905363193877,0.002045330483286216,-0.00297742593792059,0.0031677837107964273,0.34726464236647914,0.000632864905602085,5.169713334019129
kappa,0.4,0.40037362723075676,0.10325321205058116,0.07304860313101774,0.07261130606449892,0.0004372970665188214,0.00024171291908407165,1.0060224376921465,0.002804549523527733,0.0018196476867022727,-0.0031614629980992997,0.0027633378252832626,0.25259294340463756,0.00021080818184617065,7.252945169266627
kappa,0.6,0.5920454995789914,0.10889840563556322,0.08028115418240382,0.08030538161850087,-2.4227436097049027e-05,0.00023679879216818514,0.9996983086860586,0.0007537071678830362,0.0015272893614363076,-0.001857567398081801,0.002405329695828144,0.4399536844113403,0.0018492651482542063,9.221252165955146
kappa,0.8,0.7979775638962306,0.08968912758558371,0.088749406055585,0.089182660635074,-0.00043325457948900636,0.00023535202472091196,0.9951419415343321,-0.0020987705779314976,0.0014043490922430353,-0.0029862724301495075,0.005747570620579852,0.6033624433550815,0.0020620667658525966,11.284746317063389
