agent_id,delta,kappa,initial_wealth,capacity,final_net,final_gross,net_return,gross_return,gross_return_comp,turnover,trade_count,num_lots_opened,mean_cash_weight,portfolio_vol,hhi,costs_paid,volume_mid,mean_portfolio_value,spread_cost,commission_cost,position_days_in_gain,position_days_in_loss,position_days_neutral,sells_from_gain,sells_from_loss,sells_from_neutral,sale_days,mean_holding_winners,mean_holding_losers,median_holding_winners,median_holding_losers,G_r_full,G_p_full,L_r_full,L_p_full,G_r_frac,G_p_frac,L_r_frac,L_p_frac,G_r,G_p,L_r,L_p,cell_A_rebote_bajo_agua_opp,cell_A_rebote_bajo_agua_sell,cell_B_ganadora_infraponderada_opp,cell_B_ganadora_infraponderada_sell,cell_C_perdedora_sobreponderada_opp,cell_C_perdedora_sobreponderada_sell
0,0.0,0.0,140907.54330700228,27,123844.40914394347,125009.271647934,-0.12109454016867294,-0.11282768321657499,-0.11357615616706662,2.8092225938111075,390,182,0.003167620706714178,0.16496551614998414,0.05852435093252106,1164.8625039906055,1549725.0079812119,137914.0452767389,774.862503990606,390.0,5750.0,7858.0,0.0,75.0,106.0,0.0,152,85.0577446656854,91.39707792554987,71.0,76.0,75.0,1734.0,106.0,2189.0,50.75,1758.25,73.5,2221.5,75.0,1734.0,106.0,2189.0,1535.0,21.0,2364.0,27.0,1721.0,20.0
1,0.0,0.0,112618.48431182439,18,75805.80473045135,76687.69293875844,-0.3268795509575855,-0.3190487919689876,-0.3206922009853942,3.006707664154151,285,139,0.004177279122088788,0.16453649428764994,0.07877708967192787,881.8882083072157,1193776.416614431,99259.43506635063,596.8882083072155,285.0,3120.0,5952.0,0.0,44.0,84.0,0.0,120,66.928319688594,99.03306920339914,71.51506805419922,87.0,44.0,703.0,84.0,1329.0,29.75,717.25,58.0,1355.0,44.0,703.0,84.0,1329.0,1229.0,19.0,1433.0,16.0,1758.0,25.0
2,0.0,0.0,152161.52829706145,17,125759.406531218,126897.55083220391,-0.17351377881996033,-0.16603393609148864,-0.16694527072184084,2.939925590808976,283,133,0.00568932114272794,0.169830904726181,0.08500982065826167,1138.1443009860577,1710288.6019721145,145436.38513496326,855.1443009860573,283.0,3428.0,5140.0,0.0,49.0,84.0,0.0,121,87.26879710135937,88.77721251877715,76.0,65.24137115478516,49.0,727.0,84.0,1197.0,32.0,744.0,51.0,1230.0,49.0,727.0,84.0,1197.0,1144.0,13.0,1532.0,20.0,1419.0,26.0
3,0.0,0.0,215478.23275612557,17,173907.3358317837,175327.67259881066,-0.19292388095363233,-0.1863323252829746,-0.18731789330623638,2.804922051579127,261,127,0.0034532975548314717,0.16709587738680365,0.08105700067630488,1420.3367670271134,2318673.534054229,206661.13811869142,1159.3367670271145,261.0,3658.0,4910.0,0.0,57.0,60.0,0.0,99,70.66432914388969,83.04985392291862,54.0,68.0,57.0,681.0,60.0,885.0,39.0,699.0,44.5,900.5,57.0,681.0,60.0,885.0,1044.0,12.0,1215.0,27.0,1269.0,16.0
4,0.0,0.0,59946.061784952435,22,45073.28625767286,45767.30879142278,-0.2481026290039443,-0.23652517899163783,-0.23822503125879746,3.093652933584391,360,167,0.004367773561578728,0.17635622991340666,0.061593738121762734,694.0225337499237,668045.0674998478,53985.13358169694,334.0225337499239,360.0,3968.0,7120.0,0.0,73.0,98.0,0.0,142,81.88064785203805,78.80748972730623,66.0,57.81834411621094,73.0,1046.0,98.0,1907.0,50.0,1069.0,72.75,1932.25,73.0,1046.0,98.0,1907.0,1550.0,15.0,2070.0,37.0,2414.0,25.0
5,0.0,0.0,37369.48962552017,9,28133.236412970844,28474.942682729587,-0.2471602717913961,-0.23801628098009575,-0.23955515608408928,2.938931581234729,137,69,0.0033727696698570403,0.18743236260747725,0.1376705035304114,341.70626975877803,409412.5395175567,34826.6477290321,204.70626975877838,137.0,1706.0,2830.0,0.0,25.0,34.0,0.0,57,93.8079337456721,99.30319508199003,91.0,66.38775634765625,25.0,166.0,34.0,288.0,17.25,173.75,24.0,298.0,25.0,166.0,34.0,288.0,584.0,4.0,478.0,8.0,891.0,11.0
6,0.0,0.0,24441.124067594537,15,23222.791250620485,23600.19538133542,-0.04984765895400811,-0.03440630160599156,-0.03498735735087566,2.8641178594303396,237,112,0.006048341358671427,0.1742587208980304,0.0970890482720388,377.4041307149596,280808.2614299188,24510.885655886585,140.40413071495942,237.0,3888.0,3672.0,0.0,49.0,61.0,0.0,101,90.69330325757497,81.82159366179131,65.46858978271484,44.15850830078125,49.0,710.0,61.0,695.0,31.75,727.25,43.0,713.0,49.0,710.0,61.0,695.0,631.0,9.0,1755.0,24.0,935.0,16.0
7,0.0,0.0,10571.340033349989,12,6978.556087648265,7212.766784174246,-0.33986078721972524,-0.3177055357769466,-0.3221896911510874,2.8476032797614614,184,85,0.007650925004294921,0.17234689908431078,0.12051911351471507,234.21069652598476,100421.3930519697,8816.308241187113,50.21069652598485,184.0,2487.0,3540.0,0.0,34.0,54.0,0.0,85,100.66829031243775,78.52828618722486,67.5,77.09754943847656,34.0,400.0,54.0,529.0,23.0,411.0,39.25,543.75,34.0,400.0,54.0,529.0,737.0,10.0,1037.0,19.0,1066.0,17.0
8,0.0,0.0,180467.3836815067,13,141277.914522934,142312.61713727564,-0.21715541256881765,-0.21142195207732128,-0.21228311402861544,2.5482763289920154,193,97,0.0041399577479432955,0.16226535692552022,0.1213971075717187,1034.702614341713,1683405.2286834277,165151.36226899183,841.7026143417139,193.0,2250.0,4302.0,0.0,33.0,50.0,0.0,81,70.77878378948128,83.15725506020026,54.0,67.5,33.0,377.0,50.0,593.0,18.75,391.25,34.5,608.5,33.0,377.0,50.0,593.0,888.0,9.0,1028.0,16.0,1285.0,14.0
9,0.0,0.0,34219.592245666354,13,30703.41945698362,31087.078983248284,-0.10275320534037125,-0.09154151340931826,-0.09208340446561747,2.9508888825965975,193,91,0.0044187317113683075,0.17250173435815255,0.10987708477542485,383.65952626468794,381319.0525293762,32305.43979292769,190.65952626468808,193.0,2975.0,3558.0,0.0,42.0,47.0,0.0,82,93.4862404030375,99.69349816079794,70.88516235351562,52.59758758544922,42.0,461.0,47.0,514.0,28.25,474.75,32.0,529.0,42.0,461.0,47.0,514.0,814.0,15.0,1423.0,21.0,1081.0,18.0
