agent_id,delta,kappa,initial_wealth,capacity,final_net,final_gross,net_return,gross_return,gross_return_comp,turnover,trade_count,num_lots_opened,mean_cash_weight,portfolio_vol,hhi,costs_paid,volume_mid,mean_portfolio_value,spread_cost,commission_cost,position_days_in_gain,position_days_in_loss,position_days_neutral,sells_from_gain,sells_from_loss,sells_from_neutral,sale_days,mean_holding_winners,mean_holding_losers,median_holding_winners,median_holding_losers,G_r_full,G_p_full,L_r_full,L_p_full,G_r_frac,G_p_frac,L_r_frac,L_p_frac,G_r,G_p,L_r,L_p,cell_A_rebote_bajo_agua_opp,cell_A_rebote_bajo_agua_sell,cell_B_ganadora_infraponderada_opp,cell_B_ganadora_infraponderada_sell,cell_C_perdedora_sobreponderada_opp,cell_C_perdedora_sobreponderada_sell
0,0.8331529440419688,0.0,41692.138816687606,27,32207.30534442865,32633.702879691675,-0.22749692727355542,-0.21726963869194016,-0.2188911707346466,2.0603978345390352,273,127,0.002900987243954562,0.17741706313393033,0.05339755757857327,426.39753526304094,306795.0705260817,37225.22240404118,153.39753526304085,273.0,2666.0,10931.0,0.0,78.0,41.0,0.0,103,68.1410074796524,164.9754774999687,40.194549560546875,136.0,78.0,683.0,41.0,1977.0,50.5,710.5,24.75,1993.25,78.0,683.0,41.0,1977.0,2707.0,14.0,1224.0,33.0,2821.0,12.0
1,0.7995637956579819,0.0,69302.08454977033,22,59196.84070206459,59706.38528755115,-0.14581442843105974,-0.13846191387400308,-0.13908564675882418,2.226579196860388,226,110,0.0019549114427328566,0.17645955760623155,0.062231565950131004,509.54458548656527,567089.1709731309,63672.69259642336,283.54458548656544,226.0,2907.0,8181.0,0.0,66.0,28.0,0.0,85,75.0875398333866,107.54527676591995,60.10308837890625,94.60430908203125,66.0,533.0,28.0,1243.0,49.5,549.5,21.0,1250.0,66.0,533.0,28.0,1243.0,2030.0,7.0,1151.0,31.0,3042.0,10.0
2,0.8162819474672075,0.0,55207.83331571197,30,46100.453265154414,46578.185877004864,-0.16496535914525057,-0.15631201082204282,-0.15726881346053612,1.9302053256865703,280,129,0.0022381062987150723,0.16579390337915206,0.05172773526997057,477.7326118504677,395465.22370093514,51220.61607102199,197.73261185046758,280.0,3179.0,11931.0,0.0,97.0,24.0,0.0,103,81.86660646600906,212.8046113258986,50.0,167.7767791748047,97.0,867.0,24.0,2101.0,67.5,896.5,16.0,2109.0,97.0,867.0,24.0,2101.0,2973.0,6.0,1640.0,45.0,3152.0,7.0
3,0.7500672108901868,0.0,270134.6708049129,29,209413.5627213834,210816.48581163454,-0.22478087652577317,-0.2195874554588998,-0.22023806929502987,2.327412537166009,316,157,0.0026596730184752417,0.17543041042471763,0.04599408109714266,1402.923090251078,2173846.180502157,233504.604983906,1086.9230902510785,316.0,3155.0,11461.0,0.0,78.0,52.0,0.0,118,66.14960910032138,118.37363854239841,34.0,101.03417205810547,78.0,811.0,52.0,2481.0,57.5,831.5,37.0,2496.0,78.0,811.0,52.0,2481.0,2801.0,17.0,1100.0,28.0,3378.0,22.0
4,0.6506751333037093,0.0,149389.03620908107,10,124207.53739581138,124770.73577352801,-0.16856323229789305,-0.16479322084318104,-0.16517577184853105,1.7198108832669758,94,50,0.0023381461307071185,0.1783131427443869,0.1281690335772659,563.1983777167084,938396.7554334172,136409.87572581615,469.1983777167086,94.0,1053.0,3987.0,0.0,19.0,15.0,0.0,34,79.40496495687631,162.92655390847796,49.0,152.70057678222656,19.0,81.0,15.0,225.0,13.5,86.5,7.5,232.5,19.0,81.0,15.0,225.0,944.0,4.0,316.0,5.0,1319.0,5.0
5,0.8346712017123981,0.0,150567.78076248424,14,132650.64278500978,133414.4094112187,-0.11899715786963849,-0.11392458110493398,-0.11414662241992168,2.3881138016816403,136,68,0.0027112654898473164,0.1937060017829512,0.11596394202068913,763.7666262089496,1255533.2524179001,131435.6597593664,627.7666262089501,136.0,1227.0,5829.0,0.0,39.0,15.0,0.0,48,74.4915827343709,162.4451626313013,40.0,138.0,39.0,202.0,15.0,416.0,27.5,213.5,10.0,421.0,39.0,202.0,15.0,416.0,1528.0,5.0,342.0,9.0,1120.0,4.0
6,0.8876319060319762,0.0,102050.23983367189,13,87146.2069895606,87573.95001691987,-0.14604603446697284,-0.14185453988492747,-0.14220115767509411,1.6616734234472899,115,57,0.002205482097386907,0.18391473648395903,0.11834599205003497,427.74302735926005,625486.0547185204,94104.84122398938,312.74302735926017,115.0,1748.0,4804.0,0.0,37.0,8.0,0.0,40,109.81532831034689,203.99952313676494,82.0,212.92922973632812,37.0,157.0,8.0,318.0,24.0,170.0,4.5,321.5,37.0,157.0,8.0,318.0,1280.0,4.0,795.0,17.0,1073.0,3.0
7,0.7394128369146986,0.0,16734.12180599205,11,15684.822139564245,15926.181038466793,-0.06270419676592043,-0.048281037803606486,-0.04903159085750186,2.720016547000016,152,75,0.004141082959042806,0.17269513230005418,0.12322481385996155,241.35889890255672,178717.7978051135,16426.168252747073,89.35889890255676,152.0,1900.0,3644.0,0.0,45.0,21.0,0.0,60,69.42103317392613,125.1402349456284,39.0,116.80614471435547,45.0,228.0,21.0,366.0,31.75,241.25,14.0,373.0,45.0,228.0,21.0,366.0,858.0,5.0,903.0,18.0,1304.0,5.0
8,0.68565351274036,0.0,142270.70147008786,19,116155.18565649778,116788.67419015254,-0.18356214978725482,-0.1791094513250353,-0.17959087758326275,1.7656350429229664,190,92,0.0027638111177937176,0.1829245707486161,0.08041278598544645,633.488533654803,886977.0673096065,125588.95889396787,443.48853365480323,190.0,2194.0,7382.0,0.0,52.0,27.0,0.0,72,68.33414991771654,176.94059748769448,36.385841369628906,147.0,52.0,360.0,27.0,929.0,37.0,375.0,19.0,937.0,52.0,360.0,27.0,929.0,1873.0,9.0,1145.0,26.0,2298.0,5.0
9,0.9236357521229911,0.0,154302.66289559368,25,131601.3809860073,132312.51180886393,-0.14712177666659465,-0.14251310167996922,-0.14295464764916588,1.7563581788196265,221,108,0.0013190042796098955,0.17706969064505124,0.050607418447594574,711.1308228567163,980261.6457134329,139530.42971739185,490.13082285671646,221.0,2545.0,10055.0,0.0,77.0,11.0,0.0,77,59.70677844291626,185.76090583584977,43.0,181.1951904296875,77.0,527.0,11.0,1310.0,54.5,549.5,7.5,1313.5,77.0,527.0,11.0,1310.0,2698.0,3.0,1060.0,29.0,3328.0,5.0
