agent_id,delta,kappa,initial_wealth,capacity,final_net,final_gross,net_return,gross_return,gross_return_comp,turnover,trade_count,num_lots_opened,mean_cash_weight,portfolio_vol,hhi,costs_paid,volume_mid,mean_portfolio_value,spread_cost,commission_cost,position_days_in_gain,position_days_in_loss,position_days_neutral,sells_from_gain,sells_from_loss,sells_from_neutral,sale_days,mean_holding_winners,mean_holding_losers,median_holding_winners,median_holding_losers,G_r_full,G_p_full,L_r_full,L_p_full,G_r_frac,G_p_frac,L_r_frac,L_p_frac,G_r,G_p,L_r,L_p,cell_A_rebote_bajo_agua_opp,cell_A_rebote_bajo_agua_sell,cell_B_ganadora_infraponderada_opp,cell_B_ganadora_infraponderada_sell,cell_C_perdedora_sobreponderada_opp,cell_C_perdedora_sobreponderada_sell
0,0.0,0.0,21850.828877986227,6,40396.96142847703,40467.27093166111,0.8487610540566375,0.8519787582259704,0.8530635547442793,0.6546719287012697,32,15,0.007533833805220636,0.16999073743771517,0.16493623972636975,70.30950318408271,76619.0063681654,29258.550355199004,38.3095031840827,32.0,2557.0,467.0,0.0,11.0,0.0,0.0,11,290.81623934868225,,309.7134704589844,,11.0,49.0,0.0,6.0,1.5038416694052665,58.49615833059473,0.0,6.0,11.0,49.0,0.0,6.0,121.0,0.0,12.0,0.0,0.0,0.0
1,0.0,0.0,414449.4709662323,11,740321.5592951988,741104.3918992659,0.7862770039716549,0.7881658532980687,0.7887324848516597,0.6555107566339982,58,27,0.006422675364986183,0.1640688921377316,0.09012746734277628,782.8326040671046,1449665.2081342088,552876.2089191863,724.8326040671044,58.0,4309.0,1235.0,0.0,18.0,2.0,0.0,20,242.42642409142368,126.07856805385778,198.51568603515625,126.07856750488281,18.0,153.0,2.0,47.0,2.425471267724424,168.57452873227558,0.26579015465175615,48.734209845348246,18.0,153.0,2.0,47.0,276.0,1.0,41.0,0.0,2.0,2.0
2,0.0,0.0,33503.797137749585,7,58980.60313499483,59080.40609184641,0.7604154804453456,0.763394335541717,0.7644005857967742,0.6819217071366105,41,19,0.010468917301949765,0.1814957972133908,0.14048273441861914,99.80295685158171,117605.91370316346,43115.62180539418,58.80295685158173,41.0,2760.0,768.0,0.0,15.0,0.0,0.0,15,248.5834408752882,,262.2603454589844,,15.0,71.0,0.0,19.0,2.061952495263379,83.93804750473662,0.0,19.0,15.0,71.0,0.0,19.0,187.0,0.0,19.0,0.0,0.0,0.0
3,0.0,0.0,167375.9324582987,16,338612.1453654671,339040.65582389425,1.023063533640546,1.0256237013548253,1.0265965233052277,0.6891772167502576,90,41,0.004637067393653885,0.17228848866697352,0.062176822266167685,428.5104584271455,677020.9168542911,245590.285197874,338.5104584271456,90.0,7037.0,1027.0,0.0,31.0,2.0,0.0,33,220.43697090725058,32.89676608953164,209.0,32.896766662597656,31.0,420.0,2.0,75.0,4.4300321710261725,446.5699678289739,0.37095478088893974,76.62904521911105,31.0,420.0,2.0,75.0,240.0,0.0,50.0,0.0,2.0,2.0
4,0.0,0.0,13432.431928846578,30,26423.306242281233,26641.67388677836,0.9671275002359281,0.9833842470152045,0.9899376261919888,0.8539255562124718,186,69,0.010299519250644144,0.16955061838275082,0.032832879236279,218.36764449713013,64735.28899426028,18952.26361457936,32.36764449713014,186.0,13142.0,1978.0,0.0,73.0,14.0,0.0,85,226.48904276417844,106.62465735065298,199.882568359375,95.67976379394531,73.0,2232.0,14.0,231.0,12.217805750919446,2292.7821942490814,3.302680177199685,241.6973198228003,73.0,2232.0,14.0,231.0,437.0,2.0,181.0,0.0,14.0,14.0
5,0.0,0.0,138244.49762727137,29,264642.7116229392,265148.5508545419,0.9143091852845895,0.9179682041987924,0.9192980949640968,0.8247608535621803,193,81,0.00620791095039611,0.1667653136674358,0.03420599506447487,505.83923160273787,625678.4632054756,189654.51030536348,312.8392316027378,193.0,12066.0,2550.0,0.0,74.0,9.0,0.0,75,218.6153990753962,98.14537558531293,213.86270141601562,94.39790344238281,74.0,1748.0,9.0,344.0,11.770995507870834,1810.2290044921292,1.554800712125116,351.44519928787486,74.0,1748.0,9.0,344.0,590.0,1.0,74.0,0.0,9.0,9.0
6,0.0,0.0,27413.706848847098,22,54483.53306895127,54653.668146874916,0.9874558872815338,0.9936620920411356,0.9965367210855696,0.6940727620070049,116,50,0.005514383341492785,0.18261075182962386,0.04516274577641476,170.13507792366812,108270.15584733614,38998.12878921311,54.13507792366807,116.0,9698.0,1390.0,0.0,40.0,4.0,0.0,42,208.6635516551301,89.90747239137394,166.405029296875,92.85845947265625,40.0,755.0,4.0,125.0,5.868175131941465,789.1318248680585,0.793061070909093,128.2069389290909,40.0,755.0,4.0,125.0,315.0,0.0,60.0,0.0,4.0,4.0
7,0.0,0.0,76159.46409239745,8,152768.59226338638,152936.8777316627,1.0059042442584145,1.0081138904301912,1.0089118394863257,0.6369840777344664,34,17,0.002823304034021123,0.18790663155957976,0.12483113224047694,168.28546827632383,268570.9365526476,105407.24091089616,134.2854682763238,34.0,3342.0,690.0,0.0,9.0,0.0,0.0,9,292.98933226433064,,316.9519958496094,,9.0,57.0,0.0,6.0,1.212912977436753,64.78708702256324,0.0,6.0,9.0,57.0,0.0,6.0,138.0,0.0,79.0,0.0,0.0,0.0
8,0.0,0.0,75875.05015644802,11,151749.50540041813,151986.59630369814,0.9999921593135466,1.0031169137985998,1.0042860335250268,0.7705906353413515,70,28,0.01492102744675405,0.17213691547326612,0.088609233988995,237.09090328003086,334181.80656006176,108417.42399712266,167.0909032800309,70.0,4956.0,588.0,0.0,31.0,0.0,0.0,30,218.65505686136166,,203.47413635253906,,31.0,283.0,0.0,16.0,4.711860151672506,309.28813984832755,0.0,16.0,31.0,283.0,0.0,16.0,106.0,0.0,13.0,0.0,0.0,0.0
9,0.0,0.0,92455.32383658517,28,192132.95084796453,192515.0309468417,1.078116682469899,1.0822492741154863,1.08393926931657,0.7646063844083606,175,77,0.0050967037999860325,0.1737370334881101,0.03551817365231835,382.08009887717793,414160.197754356,135416.14554880618,207.08009887717802,175.0,12712.0,1400.0,0.0,67.0,3.0,0.0,67,230.78538210745603,93.11461688958673,213.0,102.90174102783203,67.0,1679.0,3.0,127.0,10.23958587213713,1735.760414127863,0.5157648853422012,129.4842351146578,67.0,1679.0,3.0,127.0,271.0,1.0,46.0,0.0,3.0,3.0
