agent_id,delta,kappa,initial_wealth,capacity,final_net,final_gross,net_return,gross_return,gross_return_comp,turnover,trade_count,num_lots_opened,mean_cash_weight,portfolio_vol,hhi,costs_paid,volume_mid,mean_portfolio_value,spread_cost,commission_cost,position_days_in_gain,position_days_in_loss,position_days_neutral,sells_from_gain,sells_from_loss,sells_from_neutral,sale_days,mean_holding_winners,mean_holding_losers,median_holding_winners,median_holding_losers,G_r_full,G_p_full,L_r_full,L_p_full,G_r_frac,G_p_frac,L_r_frac,L_p_frac,G_r,G_p,L_r,L_p,cell_A_rebote_bajo_agua_opp,cell_A_rebote_bajo_agua_sell,cell_B_ganadora_infraponderada_opp,cell_B_ganadora_infraponderada_sell,cell_C_perdedora_sobreponderada_opp,cell_C_perdedora_sobreponderada_sell
0,0.0,0.0,278776.2847850419,11,287598.024001519,289526.3593835298,0.031644511021729826,0.03856165386082644,0.03874919109375541,3.139319986293155,181,84,0.0037879743938559716,0.1739048526419189,0.13214796614615776,1928.3353820110055,3494670.7640220122,278298.38781012956,1747.3353820110062,181.0,2350.0,3194.0,0.0,47.0,39.0,0.0,77,87.13060247299892,79.58376218862789,76.9427719116211,79.0,47.0,346.0,39.0,415.0,30.0,363.0,25.75,428.25,47.0,346.0,39.0,415.0,672.0,27.0,1145.0,22.0,894.0,11.0
1,0.0,0.0,204585.73451938495,26,194352.95160812294,196483.4308046688,-0.05001708909617264,-0.039603463720235266,-0.0398047162301004,4.106653527306884,509,225,0.0038704837213710654,0.15910277345246907,0.06318441608695607,2130.479196546091,3242958.393092186,197420.98837462047,1621.4791965460931,509.0,4825.0,8279.0,0.0,149.0,109.0,0.0,199,64.32877550970872,86.6301736416872,45.0,72.0,149.0,1950.0,109.0,2966.0,104.0,1995.0,73.25,3001.75,149.0,1950.0,109.0,2966.0,1713.0,71.0,2439.0,77.0,2115.0,35.0
2,0.0,0.0,479278.3085200643,16,430473.7968145049,433745.60497848777,-0.10182916864370517,-0.09500263778299145,-0.0952110552606209,3.3614170492662807,297,141,0.004055002175680759,0.1567891927852336,0.08633466020490141,3271.808163982978,5949616.327965956,442493.16886048246,2974.808163982978,297.0,3375.0,4689.0,0.0,84.0,56.0,0.0,119,68.05638210496367,95.26411014660178,52.0,99.44160461425781,84.0,791.0,56.0,973.0,53.25,821.75,39.25,989.75,84.0,791.0,56.0,973.0,886.0,35.0,1711.0,47.0,1353.0,21.0
3,0.0,0.0,240329.0129616906,22,219207.75110102745,221400.70807690037,-0.08788477762370694,-0.07875996597966928,-0.07876422341605371,4.060502520251971,432,186,0.004912982591194027,0.1535440612538793,0.06588287951872825,2192.9569758731864,3521913.9517463734,216839.78363396166,1760.9569758731868,432.0,4273.0,6815.0,0.0,115.0,109.0,0.0,162,55.30952129266837,79.96491494735913,43.0,65.0,115.0,1371.0,109.0,1969.0,83.5,1402.5,75.5,2002.5,115.0,1371.0,109.0,1969.0,1363.0,72.0,1963.0,51.0,2073.0,32.0
4,0.0,0.0,206721.824187448,23,199002.30437825472,200883.5096148448,-0.037342548807006826,-0.02824237158099574,-0.02833081990651798,3.6329813421196073,426,196,0.004500698871387463,0.15345398390242465,0.06996179123466995,1881.2052365902848,2910410.4731805692,200277.0038644442,1455.2052365902846,426.0,4459.0,7133.0,0.0,122.0,85.0,0.0,167,59.04554470331256,79.799036182948,46.5,57.9522705078125,122.0,1457.0,85.0,2177.0,80.5,1498.5,62.75,2199.25,122.0,1457.0,85.0,2177.0,1418.0,49.0,2189.0,58.0,2069.0,25.0
5,0.0,0.0,82852.2703300156,29,81459.06281851065,82728.79865843632,-0.016815562276755402,-0.0014902629835907844,-0.001491926526579701,4.374003643605435,557,238,0.005266152996057006,0.15767014817660943,0.04843400907752897,1269.7358399257546,1425471.6798515082,81474.07935607653,712.7358399257541,557.0,4825.0,9789.0,0.0,162.0,128.0,0.0,215,63.839923798940426,91.41940653754807,44.5,76.70599365234375,162.0,2148.0,128.0,3796.0,106.25,2203.75,88.25,3835.75,162.0,2148.0,128.0,3796.0,1939.0,88.0,2091.0,60.0,2910.0,46.0
6,0.0,0.0,63736.82886471233,6,59666.49083479653,60144.37820198832,-0.06386163388447663,-0.05636381236269761,-0.05662364760366123,2.9972222553723813,109,56,0.007929983480710927,0.17435090433790973,0.2670571170971991,477.8873671918316,737774.7343836633,61538.207006607234,368.88736719183163,109.0,1066.0,1958.0,0.0,24.0,23.0,0.0,43,53.32253293006868,97.71091767248487,42.38179016113281,76.0,24.0,79.0,23.0,132.0,14.0,89.0,17.0,138.0,24.0,79.0,23.0,132.0,399.0,16.0,702.0,14.0,500.0,4.0
7,0.0,0.0,45826.941534377984,25,42567.13241315413,43292.47998692164,-0.07113302812884514,-0.05530505555460363,-0.055563854196473916,3.4275777607168076,427,191,0.004762057872883342,0.15810929974185758,0.05391195404662589,725.3475737674937,596695.1475349879,43521.634605468535,298.34757376749394,427.0,5075.0,7524.0,0.0,129.0,82.0,0.0,158,65.27321390773179,88.96495404227458,46.76194381713867,79.87823486328125,129.0,1612.0,82.0,2126.0,86.0,1655.0,57.0,2151.0,129.0,1612.0,82.0,2126.0,1467.0,43.0,2143.0,54.0,2333.0,28.0
8,0.0,0.0,119157.39467948291,20,103293.80226553988,104539.59073241882,-0.133131413762561,-0.12267643134011097,-0.12314712450178644,3.9631402629075585,395,180,0.005643183015510529,0.16283551181416295,0.07927544152528312,1245.7884668789347,1701576.933757871,107337.66791473012,850.7884668789354,395.0,3255.0,6825.0,0.0,98.0,97.0,0.0,156,48.727191029722604,94.05203264186527,37.65943145751953,71.0,98.0,1006.0,97.0,1919.0,70.0,1034.0,67.75,1948.25,98.0,1006.0,97.0,1919.0,1398.0,61.0,1547.0,50.0,1918.0,25.0
9,0.0,0.0,58187.30642137983,24,54604.49841654141,55449.07723316957,-0.06157370438996601,-0.047058875150201906,-0.04709526275423381,3.684047126479196,440,193,0.004110428837341575,0.15426522241755988,0.06877583066838742,844.5788166281939,809157.6332563868,54909.560428838085,404.5788166281934,440.0,4128.0,7948.0,0.0,108.0,115.0,0.0,176,54.10284122210197,99.80377410423831,37.651763916015625,76.0,108.0,1406.0,115.0,2592.0,76.5,1437.5,76.25,2630.75,108.0,1406.0,115.0,2592.0,1539.0,68.0,2053.0,49.0,2106.0,23.0
10,0.0,0.0,442934.1437435664,6,439318.82744302857,443583.36224026454,-0.008162198267178344,0.0014657224011025427,0.0018325108176007188,4.91940170831072,155,77,0.011769986911379145,0.1829303359918958,0.20124270032358416,4264.534797236364,8219069.5944727305,417686.44246858463,4109.534797236365,155.0,987.0,2037.0,0.0,42.0,30.0,0.0,68,67.67569902007183,77.15338578288771,44.422725677490234,62.27799987792969,42.0,122.0,30.0,214.0,26.25,137.75,21.5,222.5,42.0,122.0,30.0,214.0,436.0,21.0,499.0,16.0,768.0,11.0
11,0.0,0.0,29293.631057916595,6,27767.302621741623,28116.393535657473,-0.05210444663405711,-0.040187490582222485,-0.041046557178794574,3.614632580993643,133,65,0.014830839903838967,0.17218007552113015,0.2299180177339731,349.0909139158778,432181.82783175574,29891.131266303648,216.09091391587788,133.0,1211.0,1813.0,0.0,36.0,26.0,0.0,57,55.93869908604765,72.05309651189994,45.98127746582031,60.5,36.0,134.0,26.0,146.0,24.0,146.0,16.25,155.75,36.0,134.0,26.0,146.0,361.0,17.0,536.0,20.0,381.0,7.0
12,0.0,0.0,33410.178638498954,11,29261.520005963765,29721.079837108126,-0.12417349447376613,-0.11041840994947072,-0.11104043514579043,3.840610114814966,224,103,0.013759622228727841,0.17033241637639426,0.1410853638895204,459.5598311443856,471119.66228877095,30666.98051902287,235.55983114438547,224.0,1874.0,3670.0,0.0,53.0,57.0,0.0,92,62.25568388100246,101.56061783189793,48.455780029296875,80.0,53.0,355.0,57.0,547.0,35.75,372.25,36.0,568.0,53.0,355.0,57.0,547.0,766.0,45.0,781.0,21.0,598.0,17.0
13,0.0,0.0,34817.84170884555,26,33406.04232387282,34150.522338745825,-0.040548159095515235,-0.019166017689436377,-0.0185774467732287,3.89013890497544,492,204,0.005641428513645938,0.161419231478908,0.05609918797325476,744.48001487302,504960.02974603977,32451.28529345071,252.48001487301988,492.0,4973.0,8127.0,0.0,139.0,123.0,0.0,186,72.92131892809999,82.3700665720591,50.0,61.735958099365234,139.0,1907.0,123.0,2666.0,88.5,1957.5,84.25,2704.75,139.0,1907.0,123.0,2666.0,1616.0,75.0,2638.0,61.0,2464.0,39.0
