replica,PGR,PLR,PGR_menos_PLR,SE,z,p,rechaza_5pct,ci_lo,ci_hi,cero_dentro_ci,delta_hat,SE_delta_hat,p_delta_hat,rechaza_delta_5pct,beta_net,p_beta_net,rechaza_beta_net_5pct,turnover_medio
0,0.056705595907276966,0.05693733074101286,-0.0002317348337358971,0.0002801762075439601,-0.827103899247182,0.40817817433486436,False,-0.0007729823851410465,0.00032385819861667687,True,-0.0026552798675400996,0.0026708702858726768,0.3201436180937488,False,-0.0010137694949843038,0.9086197517105408,False,3.061572755699991
1,0.056876488064053855,0.05650484643532116,0.0003716416287326968,0.00030867413021091247,1.2039934427895191,0.2285921129781322,False,-0.00021135371306490233,0.0009471815112692426,True,0.004189757477773143,0.0028063546671702904,0.1354493168422548,False,-0.007236303926537675,0.4724474989467663,False,3.035393497512338
2,0.05711359611284283,0.05678192366009625,0.0003316724527465814,0.0002993686157258587,1.1079065584159442,0.26790217290052665,False,-0.00026358189464279966,0.0009046803914350658,True,0.0037986158408344914,0.002771734322428582,0.1705360579497628,False,0.0020962893161549003,0.8133068204457687,False,3.0399239618873324
3,0.0570385113095121,0.057015328839346055,2.318247016604158e-05,0.00033342333491229994,0.06952863743666665,0.9445688384266319,False,-0.0006127401819444459,0.0007008197995564562,True,0.0016338954833178003,0.00283325433216408,0.5641522174163625,False,0.004110837647207057,0.6929586490221584,False,3.069068448330085
4,0.05657346452492995,0.056401047286336235,0.00017241723859371533,0.00029135561197687475,0.5917759312197505,0.5540006425133366,False,-0.0003973060699691113,0.0007859063365612841,True,0.002746067836346857,0.0027183765311550533,0.31240584675126815,False,-0.004053687091489111,0.7528873559010012,False,3.108903962965904
5,0.055952202467425265,0.05600726600191542,-5.506353449015455e-05,0.00034308579598698257,-0.16049494072393422,0.8724912066861422,False,-0.0007183398286179064,0.0006085074966617065,True,-0.0008887059215948986,0.003054090020251939,0.7710599025099113,False,-0.016480250029318695,0.3444029822419228,False,3.108254557650751
6,0.05761047605329805,0.05697869311141849,0.0006317829418795579,0.0003054828340433167,2.068145478151393,0.03862634532447844,True,1.777173851755763e-05,0.0012249318296093268,False,0.004571774337941436,0.002826295871138222,0.10575202333089136,False,-0.0037444250293464203,0.7820550181705433,False,3.08945986553306
7,0.05716080813963402,0.056791061282474076,0.0003697468571599444,0.00030057219259872195,1.2301432609688345,0.21864346252307576,False,-0.00024493208490358097,0.0009490346883900204,True,0.0010880335018620894,0.002948037723528216,0.7120752411465014,False,0.008911331490439982,0.16402223640409352,False,3.099038636765539
8,0.05703246566857523,0.05730359754740103,-0.00027113187882580464,0.00029408334721066993,-0.9219559060295116,0.35655157602725296,False,-0.0008573373532838912,0.0002980965549190739,True,-0.0003700023349900101,0.0027440514477977797,0.8927399818824552,False,-0.0033380605049886276,0.7716940177607082,False,3.062891243504657
9,0.056937101070906465,0.05666384413297884,0.00027325693792762396,0.000301603654734745,0.9060133510913472,0.36492878581716526,False,-0.0002874964023228716,0.0008734835205454485,True,0.002044416228395016,0.002557396670730172,0.4240509559362209,False,-0.001272286739252859,0.9144711047949161,False,3.0888125998298714
10,0.05700218770156166,0.05716871374903057,-0.00016652604746891092,0.00029613587654873973,-0.5623298649581322,0.5738912941413363,False,-0.0007428061106050733,0.0004146026578777651,True,-0.001230670555756735,0.0027969336290471552,0.6599319907154515,False,-0.007674940639140265,0.48191965558645433,False,3.1546734620458703
11,0.05679475786871733,0.05681105955814593,-1.630168942860083e-05,0.00033779838539508764,-0.048258636315074266,0.9615101195596345,False,-0.0007351784166865856,0.0006095047771709188,True,-0.0005977554447157862,0.002890033915717756,0.8361399966871872,False,-0.009392001203409614,0.2658562561232688,False,3.068650917621855
12,0.0561694834100695,0.05627946327565929,-0.00010997986558979045,0.0002889774740853288,-0.3805828324089917,0.7035128220632698,False,-0.0006650216566919026,0.0004410234794942128,True,-0.0009546463302422199,0.002842442251387539,0.7369807730072588,False,-0.004268469921680821,0.6218344609604702,False,3.137352123603876
13,0.05810961955728871,0.05807057593681314,3.904362047556925e-05,0.00031527173799629504,0.12384116864933856,0.901441034826252,False,-0.0005486761383560548,0.0006663212127350738,True,-0.0005507177060362822,0.0027256495314644563,0.8398775732409526,False,-0.001451181320497704,0.923458471882978,False,3.1096808504908284
14,0.05654410105160074,0.05660505752880351,-6.095647720277125e-05,0.00027229396939726575,-0.22386275148766974,0.8228641001720971,False,-0.0005962973624459428,0.0004913079752260889,True,-0.0020420631037501922,0.002534050897214443,0.42032975638146874,False,0.012385706098728536,0.3378319848492102,False,3.174589839423178
