base_costo,conteo_parcial,referencia,PGR,PLR,PGR_menos_PLR,PGR_sobre_PLR,delta_hat,SE_delta_hat,delta_inyectado,turnover_medio,dias_neutros
fifo,partial_as_full,mid,0.11986938025246653,0.022519169210154098,0.09735021104231244,5.3229930080376295,0.7992172548811233,0.003287707209068189,0.7996926481639853,1.929738271854585,0.0
fifo,partial_as_fraction,mid,0.08253088525746805,0.015412736225287405,0.06711814903218064,5.354719892115008,0.7992172548811233,0.003287707209068189,0.7996926481639853,1.929738271854585,0.0
fifo,partial_as_full,ask_paid,0.12699791231732777,0.02371257951531769,0.10328533280201008,5.355718986004476,0.7993047544271505,0.003275932874861988,0.7996926481639853,1.8293506350480315,0.0
fifo,partial_as_fraction,ask_paid,0.08736464857341684,0.016246877005127718,0.07111777156828913,5.377319502439975,0.7993047544271505,0.003275932874861988,0.7996926481639853,1.8293506350480315,0.0
average_cost,partial_as_full,mid,0.11921129488130647,0.022157603217237497,0.09705369166406896,5.380152975596481,0.7991172748204554,0.0032746321435441345,0.7996926481639853,1.969726970550032,0.0
average_cost,partial_as_fraction,mid,0.08208076225655554,0.015162954008972931,0.06691780824758262,5.4132435017598075,0.7991172748204554,0.0032746321435441345,0.7996926481639853,1.969726970550032,0.0
average_cost,partial_as_full,ask_paid,0.12636060929244247,0.023448507645971485,0.102912101646471,5.388855069169042,0.7990233078674474,0.0032412467099207512,0.7996926481639853,1.854157439009761,0.0
average_cost,partial_as_fraction,ask_paid,0.08695619726833345,0.016060795060387878,0.07089540220794557,5.414190078472579,0.7990233078674474,0.0032412467099207512,0.7996926481639853,1.854157439009761,0.0
per_lot,partial_as_full,mid,0.09606658706188101,0.014904044507209157,0.08116254255467185,6.445672315015776,0.7996464376250378,0.0031316596627765504,0.7996926481639853,2.025333253219028,0.0
per_lot,partial_as_fraction,mid,0.06604914424855424,0.010215206932713926,0.05583393731584031,6.465766644142433,0.7996464376250378,0.0031316596627765504,0.7996926481639853,2.025333253219028,0.0
per_lot,partial_as_full,ask_paid,0.10103066797367316,0.01573246816213972,0.08529819981153344,6.421793893522954,0.799765132108773,0.0031586124608358724,0.7996926481639853,1.9087973210981937,0.0
per_lot,partial_as_fraction,ask_paid,0.06951652429631704,0.010779499306630802,0.058737024989686235,6.448956701871605,0.799765132108773,0.0031586124608358724,0.7996926481639853,1.9087973210981937,0.0
